path	size_bytes	sha256	component	kind
README.md	18920	1898da1651e872ad4bd1ddaa0f2c35584e35ff33bc9306a2d01802b24b08596d	REVIEW	Markdown documentation
apply-doom-noncombat.py	6775	3a8062684727b572d903c3a53ef729d64438b6f3c2bdfdd5c426bfe5bec08658	REVIEW	File
build-coremark.sh	6863	1b0b1d8c4fef1968a7bc37ef151a9c2d0453fc6cd95b75c48d85141a6b41e94f	REVIEW	Shell script
build-doom-noncombat.sh	3665	09c019946631358bcbea10f44e9e42fbd0d99186399c7f481ca9ae002a03bfb3	REVIEW	Shell script
build-ecp5-bitstream-common.sh	26430	ed76f71ec596ad811561b2fbeb56e3ea93a54d91380fc0fd18dc8ba2d7c8ecdc	REVIEW	Shell script
build-supercon10-wad.py	6988	9d69e095203df153dad20f839f8ce049ef62b4433521f4c1804938043c751da6	REVIEW	File
build-ulx3s-12f-bitstream.sh	1406	973f5543461e945f3b2676727bd7b86a3d2eddc76d959e3b72a66e4ae26425a1	REVIEW	Shell script
build-ulx3s-12f-doom.sh	4616	631ce6e746a09fab921fdc8f67cd3b5b2afb89e7df3c11939041b324a43bc760	REVIEW	Shell script
build-ulx3s-12f-sweep_summary.md	7158	40260f011c5421d2e8c2b345416ba16495c193993ee9fdd36323bd029f6b83c6	REVIEW	Markdown documentation
build-ulx3s-85f-bitstream.sh	1333	01edce7bd19ecb5bbbe1a620f7f2f1c2900898a6a197720859c1612e7e787c35	REVIEW	Shell script
build-ulx3s-85f-sweep_summary.md	6794	2cfdbef52e72ccfc15efffe07105c067fd1ab32a54c3382094c5f9a3d31e4eb2	REVIEW	Markdown documentation
build-ulx3s-doom.sh	5263	43e2f6c59eb4d8b7c58d2b1a5e7396a03cc48b01cae7adbf333b3094103f0c77	REVIEW	Shell script
build-ulx4m-ld-bitstream.sh	1339	61e431dee6e42b9d2b53f8dfdc77330d0f8040057625ab6cb89a65f9b3d3ebaf	REVIEW	Shell script
build-ulx4m-ld-doom.sh	5562	a9fe9ea8ff8a5835836a654aa13283bf779cd615b4e86fa82477f918da26ffb2	REVIEW	Shell script
build-ulx4m-ld-sweep_summary.md	8517	f92171f9f40d55d815d39a85336320089a93bd6b8f1ef1a4aab620a220d68ac2	REVIEW	Markdown documentation
build-xpack.cmd	8665	75a1ff13f5d7c1e4107c4319c5e815ea0c10b5bc5ffe1013c5500d8a4839c808	REVIEW	File
build.sh	4966	3f84a7355aac5341dc1a45f8bbcfe19be8ef1aaf1374234cfa0f681b989fe746	REVIEW	Shell script
check-executable.sh	2649	911d291ea02cb0f3b0e1bdd999cfc70b57ef3753448f1fa5a5525d6921a4c5e5	REVIEW	Shell script
check-nettype.sh	4335	d03f4bc32c3cce2f421eef456ddd3929ef0f9dc1e959dcbbc39f35c1232332f9	REVIEW	Shell script
check-windows-visualgdb.ps1	8640	ff4326dbf7d9e4399b46dd8e981476a3ed3e6ce489eadeb239ae77c0f2b93d28	REVIEW	File
check-wsl-visualgdb.ps1	8483	45c44a693c87952b3a1cc2859804eb08b74ee6b34ded685c99f0aedaee062a1b	REVIEW	File
check_submodules.bat	10617	8f05a6d9f9738ddea8ebc84f4b4cdef7df848824a0b5d971e0a9a5f4675cc98b	REVIEW	File
doomgeneric-version.sh	1386	5a6cf61c5c1fd11237763279ed0a1d39d2dce37f3720c752e4e0114cae71ef81	REVIEW	Shell script
flash-ulx3s-persistent.sh	1599	55dbb3ef4ee9d6315b5f622e4e0141e20bb165a631d0b85badb38e62f2b478fd	REVIEW	Shell script
full-clean.sh	5814	1d2732bee827bf875b529ddb05dd1874438c76ec95b90958302fb705b06e49be	REVIEW	Shell script
gdb/load-hazard3-test-elf.gdb	842	8ff53bd3e78ae7fa3c78aa8c26c891b742bf3689095179f59edd293ade1d1120	xPack GNU RISC-V Embedded GCC/GDB runtime	File
gdb/sao-probe.gdb	2086	4133bf62ae717eb5d49c7dccf283a90d0fa5267d9262aefdbcb150aa10be4eac	xPack GNU RISC-V Embedded GCC/GDB runtime	File
gdb/sao-scan.gdb	2288	fc220edfff82d934267000aa4ead2fb7df72a6b4044c48c5010d8be5826dc6aa	xPack GNU RISC-V Embedded GCC/GDB runtime	File
gdb/sao-touchwheel-led-off.gdb	1506	cc4b5f9124b2c935f35a1bfc72c393c00fad7110055150e3447bd9404b651a4a	xPack GNU RISC-V Embedded GCC/GDB runtime	File
gdb/sao-touchwheel-test.gdb	4547	13097de76e5acccbab3439a62ab2cd808d9b6b4b01b7288b2f8eb3db0ac07ff4	xPack GNU RISC-V Embedded GCC/GDB runtime	File
generate-ecp5-seed-matrix.py	2032	99bbc34c941180bff96a88a332ab8739a54d3984e424c54b3d29e43febd3a9e3	REVIEW	File
git-exe.sh	1849	fd3a9ebccf709c8a45817d9ec67738b765d7074454309db41834af4a13dced66	REVIEW	Shell script
hazard3-debug.gdb	1181	38a49cf5e41db070c8c21402e7b797c0d0e56f7d50d15de0dfdfbef39a4ac4a3	REVIEW	File
hazard3-doom-source-status.sh	22103	0d9e973fbdf8e911030b72378572ad45506b50b7e5ffc6b6712eb03b90ba5614	REVIEW	Shell script
hazard3-submodule.sh	8529	21a5d01d95108a9d304fc9b2bf9606f18c5a76416259fa27525cb32a9ff6e45e	REVIEW	Shell script
inventory.sh	11860	ccdf6d71ffc232d68c66085874bbc8885b7fd5ecc67a9fcb54b0d4d3264d1996	Hazard3-Doom repository	Shell script
load-firmware-12f.sh	1570	63b70d39f092cdb590da8f8541806f67fe99556ea7f81afd8eb87a940cd1fc82	REVIEW	Shell script
load-firmware.bat	2755	3688d3f21ee3faee4fe5212c2c2db072576e5b155b8b2ef4978e36ab03c9c2e3	REVIEW	File
load-firmware.sh	2909	369fee83903fbd1ca6f959ca6a7ceb1ee1365d9398e34aa819d8c19b8ea49ee1	REVIEW	Shell script
load-fpga-bitstream.bat	2700	3c18dc6a74ff2e4b665b5d4634ff2dd537d03bf8dac963dd451ab45e42612206	REVIEW	File
make-boot-hex.py	2794	bd4e1d863e021e5cb7345d5c57e0e37cf1751d3f8c333652eb52fd48d2ab05ac	REVIEW	File
peek-elf.sh	23830	1dd3d876c067d5710ea69efb10de7b7b8e46eea8ef4a949fba2c855a49fe480a	REVIEW	Shell script
restart-from-monitor.py	2180	62fafcba0da53b21b5704f221c655c63eb5520f2def0fbe7312005a65c59dd2d	REVIEW	File
return-to-monitor.py	2144	0214047d05bf37b06453388892bc8c5a13a49af1154f962e1680eaa644316ceb	REVIEW	File
run-coremark.sh	5148	ee257f329b138a6bfcc01224c96c8f4459b171f493f437f423190cb1d811a336	REVIEW	Shell script
setup-doomgeneric.sh	3758	c5e0db035fd7c7ca27f2a742c61e40cd76b667735d03fb70165d462e9417a53a	REVIEW	Shell script
setup-submodules.sh	2492	50acdd84c3befd4ae3820d8f871edd2ba600975d31191cd1460b83e7095919f4	REVIEW	Shell script
setup-xpack-riscv-gcc.cmd	4527	4ebeb6512881634e17c5d18e5424112f142bf651d35f07b8ed197c20f43f108e	REVIEW	File
start-openocd.bat	1621	47722eea263b1857c2ed8537927e3a047f6ba53d14baf2fcaefd655b56dccacd	REVIEW	File
start-openocd.sh	2243	983161518bbf7754667d2702236213f54a6edc8095b1e02647bc8c0250b11286	REVIEW	Shell script
summarize-ecp5-sweep.py	11880	1c9764208c376f0795c4ec68d84d19bb16fac4a2296cf5c062d1543d740edf75	REVIEW	File
sweep-ecp5-common.sh	10641	8fcb40ac93677d355233982c20f88273b7cda9ff8349a1a5fd866daf6314fdc1	REVIEW	Shell script
sweep-ecp5.sh	3497	7119afb34144e367fb75899a44f6e730efeb6773e3063a7dcdb3e48ba97e8452	REVIEW	Shell script
sweep-peek-ulx3s-12f-best-peek.sh	1693	d64946c8f5aa8f9c4947007c13ba5ff7ed49d3d15db896ede13ea263fbe2c81b	REVIEW	Shell script
sweep-peek-ulx3s-12f.sh	11605	88f043454b509fcf100fb917e743d59bac2f0939fb77d1ac418349f1e637770e	REVIEW	Shell script
sweep-peek.sh	7796	d1fdff21aa65330d2704b2733b9876a136f32ab33c07953e8d1da59258d0db77	REVIEW	Shell script
sweep-ulx3s-12f.sh	13979	27030de91b8dd4ae514c6fc1b784862bf382144e1ab2ab6d4aecd4cd4181e2e3	REVIEW	Shell script
sweep-ulx3s-85f.sh	13111	9d37223b804741c6b6e4abc992c26df60c089fb39c07072dbfcc4207e4156e68	REVIEW	Shell script
sweep-ulx4m-ld.sh	16562	a1dccb5925b207479f06cc9fa2bd43c29d2a0ca03f4cfe45d758203014b194bf	REVIEW	Shell script
sweep.sh	775	73dfc7d13c2d77e1ccc5e6ce72856621c639e27c01d88e13bfc4225dcb1f3895	REVIEW	Shell script
test-scripts.sh	19658	852749eb0839ca298e80442b4550807509aaf4ce46a9c11f331bb433d98a2e20	REVIEW	Shell script
ulx4m-bootloader.sh	26225	b113c7f9bf5253984b16adaaeb32b044f1509e3a8990879e88fbcaec39fd81f6	REVIEW	Shell script
watch-ecp5-sweep-results.sh	18199	4d7b1bd134af275ad36d608811c64b9b2bf4ee201ee419d677bdf0b8b886536d	REVIEW	Shell script
